Suburb,Address,Rooms,Type,Price,Seller,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Region
Abbotsford,25 Bloomburg St,2,h,1035000,Biggin,2016-02-04,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Northern Metropolitan
Abbotsford,5 Charles St,3,h,1465000,Biggin,2017-03-04,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Northern Metropolitan
Abbotsford,55a Park St,4,h,1600000,Nelson,2016-06-04,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Northern Metropolitan
Abbotsford,124 Yarra St,3,h,1876000,Nelson,2016-05-07,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Northern Metropolitan
Abbotsford,98 Charles St,2,h,1636000,Nelson,2016-10-08,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Northern Metropolitan
Abbotsford,10 Valiant St,2,h,1097000,Biggin,2016-10-08,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Northern Metropolitan
Abbotsford,40 Nicholson St,3,h,1350000,Nelson,2016-11-12,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Northern Metropolitan
Abbotsford,16 William St,2,h,1310000,Jellis,2016-10-15,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Northern Metropolitan
Abbotsford,42 Henry St,3,h,1200000,Jellis,2016-07-16,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Northern Metropolitan
Abbotsford,78 Yarra St,3,h,1176500,LITTLE,2016-07-16,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Northern Metropolitan
Abbotsford,42 Valiant St,2,h,890000,Biggin,2016-09-17,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Northern Metropolitan
Abbotsford,3/72 Charles St,4,h,1330000,Kay,2017-03-18,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Northern Metropolitan
Abbotsford,52a William St,2,h,1100000,Biggin,2016-06-18,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Northern Metropolitan
Abbotsford,49 Park St,2,h,1315000,Marshall,2016-11-19,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Northern Metropolitan
Abbotsford,48 Abbotsford St,3,h,1447500,Nelson,2016-08-22,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Northern Metropolitan
Abbotsford,159 Park St,2,h,1135000,Nelson,2016-08-22,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Northern Metropolitan
Abbotsford,166 Gipps St,3,h,1290000,Biggin,2017-02-25,2.5,3.0,2.0,2.0,147.0,18.0,0.0,Northern Metropolitan
Abbotsford,60 Stafford St,3,h,1290000,Biggin,2017-02-25,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Northern Metropolitan
Abbotsford,47 Studley St,2,h,1180000,Jellis,2016-11-27,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Northern Metropolitan
Abbotsford,45 Yarra St,3,h,1195000,Jellis,2016-11-27,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Northern Metropolitan
Abbotsford,200 Nicholson St,2,h,1012500,Nelson,2016-05-28,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Northern Metropolitan
Abbotsford,27 Charles St,2,h,1030000,Biggin,2016-07-30,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Northern Metropolitan
Airport West,50 Bedford St,3,h,730000,Nelson,2016-12-03,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Western Metropolitan
Airport West,50 Bedford St,3,h,770000,Nelson,2017-03-04,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Western Metropolitan
Airport West,23 Hart St,2,h,603000,Nelson,2017-03-04,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Western Metropolitan
Airport West,1/37 Hillside Gr,3,h,600000,Maddison,2017-03-04,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Western Metropolitan
Airport West,36 Roberts Rd,4,h,785000,Considine,2016-08-06,13.5,3.0,1.0,2.0,597.0,127.0,0.0,Western Metropolitan
Airport West,11 Harrington Rd,6,h,725000,Barry,2016-05-07,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Western Metropolitan
Airport West,3 Deidre Ct,3,h,895000,Rendina,2016-09-10,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Western Metropolitan
Airport West,13 Etzel St,3,h,805000,Nelson,2016-12-10,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,Western Metropolitan
Airport West,180 Parer Rd,3,h,830000,Barry,2016-04-16,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Western Metropolitan
Airport West,174 Parer Rd,2,h,675000,Barry,2016-07-16,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Western Metropolitan
Airport West,138 Victory Rd,3,h,1042000,Nelson,2016-07-16,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Western Metropolitan
Airport West,6 Kittyhawk St,4,h,773000,Brad,2016-09-17,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Western Metropolitan
Airport West,478 Fullarton Rd,3,h,810000,Barry,2017-03-18,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Western Metropolitan
Airport West,144 Marshall Rd,3,h,715000,Rendina,2017-03-18,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Western Metropolitan
Airport West,10 Hilbert Rd,3,h,685000,Barry,2016-05-22,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Western Metropolitan
Airport West,85 Roberts Rd,4,h,900000,Harcourts,2016-11-27,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Western Metropolitan
Albert Park,105 Kerferd Rd,2,h,1275000,hockingstuart,2016-09-03,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Southern Metropolitan
Albert Park,112 Beaconsfield Pde,3,h,2850000,Buxton,2017-03-04,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Southern Metropolitan
Albert Park,94 Graham St,3,h,1850000,Greg,2017-03-04,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Southern Metropolitan
Albert Park,396 Montague St,2,h,1436000,RT,2017-03-04,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Southern Metropolitan
Albert Park,104 Richardson St,4,h,2300000,Marshall,2016-05-07,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Southern Metropolitan
Albert Park,1 Moubray St,3,h,1800000,Greg,2016-11-07,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Southern Metropolitan
Albert Park,29 Faussett St,2,h,2120000,Greg,2016-09-10,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Southern Metropolitan
Albert Park,24 Kerferd Pl,3,h,1800000,Marshall,2016-09-10,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Southern Metropolitan
Albert Park,2 Dundas Pl,3,h,2615000,Cayzer,2016-12-10,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Southern Metropolitan
Albert Park,4a Gatehouse La,3,h,1370000,Greg,2016-06-12,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,Southern Metropolitan
Albert Park,65 Graham St,2,h,1322500,Greg,2016-10-15,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Southern Metropolitan
